id,topic,stance,substance,source,line
0,abortion,Con,c-adopt,Q34,"And if it is not possible for your to have a baby, due to shortage of money or time... Nowadays many couples would adopt unwanted babies."
1,abortion,Con,c-kill,Q34,I believe that abortion cannot be justified because it is killing an innocent human being.
2,abortion,Con,c-baby_right,Q34,"Moreover, United Nations declaration says children have a right to protected before as well as after birth!"
3,abortion,Con,c-baby_right,M25,"Even if it doesn't have a brain, my belief is that the PERSON still has a soul. The soul is what gives the PERSON LIFE"
4,abortion,Con,c-sex,O43,"Can't you use a condom while having sex. Yes, having the baby puts the teen mother in a bad spot, but it's her fault for getting pregnant in the first place."
5,abortion,Con,c-kill,Q35,to abort a child is killing the child.
6,abortion,Con,c-baby_right,Q35,"From the time of conception, a child is alive"
7,abortion,Pro,p-not_human,M24,"If its taking nourishment from its mother, it's not quite a human being yet."
8,abortion,Pro,p-right,J17,"I simply think it's the lesser evil of two, especially when you look at statistics that show that abortion laws don't stop abortions, they just stop safe abortions. This leads to major risks to both the baby and the mother."
9,abortion,Con,c-baby_right,J16,This is a person who even though they might not get an abortion themselves…is willing to sit by quietly while others kill in the name of CHOICE
10,abortion,Con,c-kill,G2, We should not abort a fetus simply for the purpose that it will cause or bring convenience to us.
11,abortion,Con,c-sex,B48,"every action has a consequence, and to say that just because you don't want to face that consequence does not mean you don't have to."
12,abortion,Pro,p-not_human,A27,"First of all, the fetus is only a potential life and is no comparison to the actual life that is the mother."
13,abortion,Con,c-baby_right,C40,Brain waves have been recorded by EEG (electro- encephalograph) in the human embryo 40 days after fertilisation
14,abortion,Pro,p-other,A26,"I think every mother would lay down their lives for their children, it's the most humane thing to do and the most loving; to lay down your life on behalf of someone else."
15,abortion,Pro,p-baby_ill_treatment,T29,There are more unwanted children than families willing to adopt
16,abortion,Con,c-adopt,T28,"babies that are adopted are given to families who want to raise them, not to just put up with them for a few months so they wouldnt be ""shuffled around in foster care"" they would be in permanent homes"
17,abortion,Pro,p-not_human,Y23,isnt that a good thing that they dont feel anything?
18,abortion,Pro,p-not_human,Y22,"Its not a child , its a fetus. It has no feelings at all!"
19,abortion,Pro,p-right,U21,Personally i think that people should have the ability to make there own choice.
20,abortion,Pro,p-baby_ill_treatment,U21,"its better to abort an unwanted child than have it born into poverty and have it suffer immensely with hunger, etc. Also if an unwanted child is born because abortion wasnt an option. That child grows up without love, care, etc and again brings them into a cruel and punishing world with no love or support system also putting them at risk of depression later in life.  It may seem cruel or unfair to abort a child but honestly its far more cruel and unfair to bring a child into a world of poverty, hostility, hatred and other situations and emotions that often surround having an unwanted child."
21,abortion,Pro,p-right,U20,I am for a woman's right to chose.
22,abortion,Pro,p-not_human,U5,A fetus is also just cells. It is also not human yet.
23,abortion,Pro,p-other,R12,There is no point in bringing life into this world if there are no structures in place to support this life.
24,abortion,Con,c-kill,U4,YOU DON'T SEE NOTHING WRONG WITH KILLING AN INNOCENT LIFE?????
25,abortion,Con,c-kill,J29,Abortion is wrong because it takes a life.
26,abortion,Con,c-baby_right,J29,The child in the raped woman's body…how is he/she at fault. Why should they lose their life because an act of violence happened to another living human being.
27,abortion,Con,c-baby_right,G23,A fetus is formed from a sperm cell and a egg cell which identifies it as a developing human with developing organs.
28,abortion,Pro,p-right,G22,"The fetus uses the mother's body as its host. It depends solely on her for survival; no one else can step in and take her place if she is unhappy with the situation. If someone or something is using your body to survive, you should have a say in whether or not it is allowed to continue doing so"
29,abortion,Con,c-kill,A19,And when done on humans it ends the life of a human in the early stages of development.
30,abortion,Pro,p-not_human,A18,"Technically speaking, a fetus is not a human yet."
31,abortion,Pro,p-birth_ctrl,A18,Having an abortion is similar to wearing a condom.
32,abortion,Con,c-bad_4_mom,R2,Won't killing the fetus have a potential emotional side-effect on the parent? They would go through life knowing that they killed their own child.
33,abortion,Pro,p-sick_mom,R3,sometimes a child being born causes great strain on the parents and could possibly lead to death.
34,abortion,Pro,p-right,R3,"Therefore, I believe that it should be the person's choice."
35,abortion,Con,c-adopt,O34,Just because the child is unwanted does not mean it is unloved furthermore there are far more suitable alternatives like adoption
36,abortion,Con,c-baby_right,S25,the fetus is a living being that is growing and was created by God what right do you have to destroy what he has made good.
37,abortion,Con,c-sex,S25,You just should not have had sex in the first place
38,abortion,Pro,p-right,O35,WOMEN CAN DO WHATEVER THE HELL THEY'D LIKE TO DO WITH THEIR OWN BODIES.
39,abortion,Pro,p-other,O35,The odds of a mother not being able to have children later are so low.
40,abortion,Con,c-kill,S24,it would be murder and disgrace to kill a child that has yet to be born
41,abortion,Con,c-baby_right,S24,it is not the unborn child's fault that they was to be given life. the ones who conceded the child are at fault.
42,abortion,Pro,p-right,T17,I    sure as hell don't have the right to commandeer someone else's body against their will for nine months to keep myself alive and neither does a fetus.
43,abortion,Pro,p-not_human,T17,Even if a zygote or early term fetus was a person (which it isn't)...  And even if that person had all the rights that other people have (which it doesn't).
44,abortion,Con,c-adopt,T16,There is always adoption as an option!
45,abortion,Con,c-baby_right,T16,A person shouldn't be allowed to kill a future child.
46,abortion,Con,c-sex,T16,They are willing enough to create the child and I believe that they need to own up to their own responsibilities. It was their choice to tango and they need to pay up for it.
47,abortion,Con,c-adopt,I6,There are other ways the child can get taken care of.
48,abortion,Con,c-kill,I7,Their parents kill them before they have a chance at life.
49,abortion,Con,c-baby_right,I7,they dont even have a chance to live before they die.
50,abortion,Con,c-baby_right,C36, A human foetus is nothing like a fruit or a banana.
51,abortion,Pro,p-not_human,C37, Both are unfeeling. Both are unaware of existence. Both are composed of cells. Both have metabolism. Both are offspring of a parent (a fruit is cells around seeds)
52,abortion,Con,c-kill,J2,  The fact is abortion is the act of KILLING A LIVING HUMAN BEING.
53,abortion,Con,c-baby_right,J2,But tell me….what would you call killing a living human being without its permission? The unborn can't speak for themselves.   It does not matter what the procedure is…it outcome is the same thing. Death to the unborn.
54,abortion,Pro,p-not_human,R19,"A one month old embryo is only alive in the strict biological sense, the same way a plant is alive."
55,abortion,Pro,p-right,J3," One human should not use another human as a life support system unless the host is giving ongoing consent. This applies regardless of the age or legal status of either party or the relationship between the parties. If it's in your body and you don't want it there, you have a right to try to find someone who will take it out."
56,abortion,Pro,p-not_human,J3," Abortion if it's a fetus, murder if it's not. It's cool how there's two different names for that, isn't it? That's so we don't get them confused."
57,abortion,Con,c-adopt,R18,Put the baby up for adoption.
58,abortion,Con,c-baby_right,R18,"A fetus is alive, regardless of how developed it is."
59,abortion,Con,c-adopt,S11,You can have them be adopted if you are not ready with the child.
60,abortion,Con,c-kill,S11,Abortion = murder.
61,abortion,Con,c-baby_right,S11,And if they are human they have all the right to live.
62,abortion,Pro,p-sick_mom,S10,"permission for an abortion could then be based on psychiatric considerations such as prepartum depression, especially if there is responsible psychiatric opinion that a continued pregnancy raises the strong probability of suicide in a clinically depressed patient."
63,abortion,Pro,p-right,S10,I believe that abortion should be legal because the fetus is simply a part of the mother's body and she can have an abortion because it is her human rights.
64,abortion,Pro,p-mother_danger,S10,"I take this view because every woman can face with situation when two lives are at stake and the moral obligation is to save the one closest at hand--namely, that of the mother, whose life is always more immediate than that of the unborn child within her body."
65,abortion,Pro,p-not_human,Y29,its not a person until the baby comes out
66,abortion,Pro,p-mother_danger,Y29,it can kill you to give birth
67,abortion,Con,c-other,Y28,I believe greater education is the answer to prevent teen pregnancy and the fallacy that abortion is just another form of birth control.
68,abortion,Pro,p-other,Y28,But I absolutely do not believe the government should ban abortion. That is completely out of their jurisdiction and authority.
69,abortion,Con,c-kill,C1,what happened to you should not have killed the baby.
70,abortion,Con,c-baby_right,C1,honestly the baby did not do anything to you.
